INCI_Name,Ingredient_Class,Evidence_Strength,Effect_Strength_Weight,Evidence_Quality
Argireline,Active,3 (Fair),,Limited / Emerging
Arnica Montana Extract,Active,Limited,0.6,Limited / Emerging
Callus Culture Extract,Active,Limited,0.7,Limited / Emerging
DMAE,Active,3 (Fair),,Limited / Emerging
Exosome Extract,Active,Emerging,0.85,Limited / Emerging
Fermented Oil,Emollient,3 (Fair),,Limited / Emerging
Glucosyl Hesperidin,Active,Limited,0.6,Limited / Emerging
Human Adipose Stem Cell Conditioned Media,Active,Emerging,0.9,Limited / Emerging
Nicotinamide Mononucleotide,Active,Emerging clinical data,0.75,Limited / Emerging
Oligopeptide-24,Active,Limited,0.85,Limited / Emerging
Oligopeptide-68,Active,Limited,0.75,Limited / Emerging
Retinyl Linoleate,Active,Limited,0.55,Limited / Emerging
Senolytic Peptide Complex,Active,Pre-clinical and early clinical,0.8,Limited / Emerging
Vegan Polydeoxyribonucleotide,Active,Emerging data,0.85,Limited / Emerging
Vitamin K,Active,3 (Fair),,Limited / Emerging
"1,4-Dioxane",Safety,,,Moderate
Acai Extract,Active,,,Moderate
Acetyl Glucosamine,Active,,,Moderate
Acetyl Tetrapeptide,Active,,,Moderate
Acetyl Tetrapeptide-5,Active,Peer-reviewed,0.7,Moderate
Acetyl Tyrosinamide,Active,,,Moderate
Acetylarginyltryptophyl Diphenylglycine,Active,,,Moderate
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Functional,Regulatory,0.2,Moderate
Ahnfeltia Concinna Extract,Active,,,Moderate
Alanine,Active,Peer-reviewed,0.55,Moderate
Alaria Esculenta Extract,Active,,,Moderate
Alcohol Denat.,Functional,Regulatory,0.15,Moderate
Algae Exopolysaccharides,Active,,,Moderate
Algae Extract,Active,,,Moderate
Algin,Active,,,Moderate
Alginate,Functional,Regulatory,0.4,Moderate
Allantoin,Functional,Peer-reviewed,0.6,Moderate
Aloe Barbadensis Leaf Extract,Active,Peer-reviewed,0.7,Moderate
Aloe Barbadensis Leaf Juice,Functional,Peer-reviewed,0.6,Moderate
Aloe Vera,Active,,,Moderate
Alpha Lipoic,Active,4 (Good),,Moderate
Alpha-Glucan,Active,4 (Good),,Moderate
Alpha-Glucan Oligosaccharide,Active,Peer-reviewed,0.65,Moderate
Aluminum Starch Octenylsuccinate,Functional,Regulatory,0.3,Moderate
Amino Acids,Active,,,Moderate
Aminomethyl Propanol,Functional,Regulatory,0.2,Moderate
Ammonium Lactate,Functional,Peer-reviewed,0.7,Moderate
Anti-Ageing Peptides,Active,,,Moderate
Apple Extract,Active,,,Moderate
Apple Polyphenols,Active,,,Moderate
Apple Stem Cells,Active,,,Moderate
Aquagenium,Active,,,Moderate
Arachidyl Alcohol,Functional,Peer-reviewed,0.6,Moderate
Arachidyl Glucoside,Functional,Peer-reviewed,0.7,Moderate
Arbutin,Active,,,Moderate
Argan Oil,Functional,Peer-reviewed,0.65,Moderate
Arginine,Active,Peer-reviewed,0.7,Moderate
Arginine HCL,Active,,,Moderate
Arginine PCA,Active,,,Moderate
Arginine/Lysine Polypeptide,Active,,,Moderate
Ascophyllum Nodosum Extract,Active,,,Moderate
Ascorbyl Glucoside,Active,Peer-reviewed,0.7,Moderate
Ascorbyl Palmitate,Active,,,Moderate
Asparagopsis Armata Extract,Active,,,Moderate
Avene Thermal Water,Active,,,Moderate
Avocado Ferment,Active,,,Moderate
Avocado Oil,Functional,Peer-reviewed,0.7,Moderate
Azelaoyl Bis-Dipeptide,Active,,,Moderate
Azelaoyl Glycine,Active,Moderate,0.8,Moderate
BHA,Functional,Regulatory,0.3,Moderate
BHT,Functional,Regulatory,0.3,Moderate
Bakuchiol,Active,Peer-reviewed,0.7,Moderate
Beeswax,Functional,Peer-reviewed,0.6,Moderate
Behenyl Alcohol,Functional,Peer-reviewed,0.6,Moderate
Benzene,Safety,,,Moderate
Benzyl Alcohol,Functional,Regulatory,0.2,Moderate
Beta Glucan,Active,,,Moderate
Betaine,Functional,Peer-reviewed,0.6,Moderate
Betaine Salicylate,Active,Peer-reviewed,0.7,Moderate
Bilberry Extract,Active,,,Moderate
Bio-Active Glucosides,Active,,,Moderate
Biosaccharide Gum-1,Active,Peer-reviewed,0.7,Moderate
Biosaccharide Gum-2,Active,Peer-reviewed,0.7,Moderate
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Active,Regulatory,1.0,Moderate
Bisphenol S,Safety,,,Moderate
Blue Lotus Extract,Active,,,Moderate
Blue Mallow Extract,Active,,,Moderate
Blueberry Extract,Active,,,Moderate
Borage Seed Oil,Functional,Peer-reviewed,0.75,Moderate
Bromelain,Active,Peer-reviewed,0.7,Moderate
Butyl Methoxydibenzoylmethane,Active,Regulatory,0.9,Moderate
Butylene Glycol,Functional,Peer-reviewed,0.45,Moderate
C12-15 Alkyl Benzoate,Functional,Regulatory,0.6,Moderate
CI 16035,Functional,Regulatory,0.02,Moderate
CI 19140,Functional,Regulatory,0.02,Moderate
CI 42090,Functional,Regulatory,0.02,Moderate
CI 77007,Functional,Regulatory,0.05,Moderate
CI 77288,Functional,Regulatory,0.05,Moderate
CI 77491,Functional,Regulatory,0.05,Moderate
CI 77492,Functional,Regulatory,0.05,Moderate
CI 77499,Functional,Regulatory,0.05,Moderate
CI 77742,Functional,Regulatory,0.05,Moderate
CI 77891,Functional,Regulatory,0.1,Moderate
Cabbage Leaf Extract,Active,,,Moderate
Caffeic Acid,Active,Peer-reviewed,0.7,Moderate
Caffeine,Active,Peer-reviewed,0.6,Moderate
Calcium Alginate,Functional,Regulatory,0.4,Moderate
Calcium PCA,Active,Peer-reviewed,0.65,Moderate
Camellia Seed Oil,Functional,Peer-reviewed,0.65,Moderate
Camphor,Active,Regulatory,0.2,Moderate
Candelilla Wax,Functional,Regulatory,0.6,Moderate
Capric Acid,Functional,Peer-reviewed,0.6,Moderate
Caprooyl Phytosphingosine,Active,,,Moderate
Caprooyl Sphingosine,Active,,,Moderate
Caprylhydroxamic Acid,Functional,Regulatory,0.45,Moderate
Caprylic Acid,Functional,Peer-reviewed,0.6,Moderate
Caprylic/Capric Triglyceride,Functional,Peer-reviewed,0.6,Moderate
Caprylyl Glycol,Functional,Regulatory,0.4,Moderate
Carbomer,Functional,Regulatory,0.15,Moderate
Carnauba Wax,Functional,Regulatory,0.55,Moderate
Carnitine,Active,Peer-reviewed,0.7,Moderate
Carrageenan,Functional,Regulatory,0.4,Moderate
Ceresin,Functional,Regulatory,0.65,Moderate
Ceteareth-20,Functional,Regulatory,0.25,Moderate
Cetearyl Alcohol,Functional,Peer-reviewed,0.6,Moderate
Cetearyl Olivate,Functional,Peer-reviewed,0.7,Moderate
Cetyl Alcohol,Functional,Peer-reviewed,0.55,Moderate
Chamomile Extract,Active,,,Moderate
Chemical UV Filters,Active,,,Moderate
Chitosan,Functional,Peer-reviewed,0.6,Moderate
Chlorella Protothecoides,Active,,,Moderate
Chlorella Protothecoides Oil,Active,,,Moderate
Chlorogenic Acid,Active,Peer-reviewed,0.7,Moderate
Chlorophyll,Active,,,Moderate
Chlorphenesin,Functional,Regulatory,0.3,Moderate
Cholesterol,Functional,Peer-reviewed,0.9,Moderate
Chondrus Crispus,Active,,,Moderate
Cinnamon Bark,Active,,,Moderate
Citral,Functional,Regulatory,0.05,Moderate
Citramalic Acid,Active,Peer-reviewed,0.6,Moderate
Citric Acid,Functional,Regulatory,0.2,Moderate
Clarivine™,Active,4 (Good),,Moderate
Coal Tar,Safety,,,Moderate
Cocamidopropyl Betaine,Functional,Peer-reviewed,0.6,Moderate
Coco Glucoside,Functional,Peer-reviewed,0.7,Moderate
Coco-Betaine,Functional,Peer-reviewed,0.6,Moderate
Coco-Caprylate/Caprate,Functional,Regulatory,0.65,Moderate
Coffee Seed Extract,Active,,,Moderate
Copper Heptapeptide-14 Pantothenate,Active,,,Moderate
Copper Lysinate/Prolinate,Active,Moderate,0.85,Moderate
Copper PCA,Active,Peer-reviewed,0.7,Moderate
Copper Palmitoyl Heptapeptide,Active,,,Moderate
Copper Peptide,Active,,,Moderate
Creatine,Active,Peer-reviewed,0.7,Moderate
Cucumber Extract,Active,,,Moderate
Cucumis Sativus Fruit Extract,Active,Peer-reviewed,0.6,Moderate
Curcuma Longa,Active,4 (Good),,Moderate
Cyclodextrin,Functional,Peer-reviewed,0.4,Moderate
Cyclohexasiloxane,Functional,Regulatory,0.6,Moderate
Cyclopentasiloxane,Functional,Peer-reviewed,0.5,Moderate
Cysteine,Active,Peer-reviewed,0.65,Moderate
Decyl Glucoside,Functional,Peer-reviewed,0.7,Moderate
Dehydroacetic Acid,Functional,Regulatory,0.35,Moderate
Dicaprylyl Carbonate,Functional,Regulatory,0.65,Moderate
Diethylamino Hydroxybenzoyl Hexyl Benzoate,Active,Regulatory,0.95,Moderate
Dihydroxyacetone,Active,Peer-reviewed,0.3,Moderate
Diisopropyl Sebacate,Functional,Regulatory,0.55,Moderate
Dimethicone,Functional,Peer-reviewed,0.75,Moderate
Dimethiconol,Functional,Regulatory,0.65,Moderate
Dioic Acid,Active,,,Moderate
Diosmin,Active,Peer-reviewed,0.7,Moderate
Dipeptide,Active,,,Moderate
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Active,,,Moderate
Dipropylene Glycol,Functional,Regulatory,0.5,Moderate
Disodium Cocoyl Glutamate,Functional,Peer-reviewed,0.8,Moderate
Disodium EDTA,Functional,Regulatory,0.15,Moderate
Disodium Laureth Sulfosuccinate,Functional,Peer-reviewed,0.75,Moderate
Drometrizole Trisiloxane,Active,Regulatory,0.95,Moderate
Dunaliella Salina (Green Algae) Extract,Active,,,Moderate
ETERWELL™ YOUTH,Active,4 (Good),,Moderate
Ecamsule,Active,Regulatory,0.95,Moderate
Elastin Amino Acids,Functional,Peer-reviewed,0.4,Moderate
Endothelyol,Active,,,Moderate
Ensulizole,Active,Regulatory,0.8,Moderate
Ergosterol,Active,Peer-reviewed,0.7,Moderate
Erythritol,Functional,Peer-reviewed,0.55,Moderate
Erythrulose,Active,Peer-reviewed,0.35,Moderate
Essential Lipids,Active,,,Moderate
Ethanol,Functional,Regulatory,0.4,Moderate
Ethylhexyl Salicylate,Active,,,Moderate
Ethylhexyl Triazone,Active,Regulatory,0.95,Moderate
Evening Primrose Oil,Functional,Peer-reviewed,0.7,Moderate
Exosomes,Active,4 (Good),,Moderate
Fernblock,Active,,,Moderate
Ferric Hexapeptide,Active,,,Moderate
Feruloyl Soy Glycerides,Active,Peer-reviewed,0.7,Moderate
Feverfew Extract,Active,,,Moderate
Fomes Ofﬁcinalis (Mushroom) Extract,Active,,,Moderate
Formaldehyde,Safety,,,Moderate
Fragrance,Functional,Regulatory,0.1,Moderate
Fructooligosaccharides,Active,Peer-reviewed,0.6,Moderate
Galguard™,Functional,4 (Good),,Moderate
Gellan Gum,Functional,Regulatory,0.45,Moderate
Geraniol,Functional,Regulatory,0.05,Moderate
Ginkgo Biloba,Active,,,Moderate
Ginseng Ext,Active,4 (Good),,Moderate
Gluconic Acid,Active,Peer-reviewed,0.7,Moderate
Glucose Oxidase,Active,Peer-reviewed,0.7,Moderate
Glutathione,Active,Peer-reviewed,0.7,Moderate
Glutathione Ethyl Ester,Active,Moderate,0.75,Moderate
Glyceryl Caprylate,Functional,Regulatory,0.4,Moderate
Glyceryl Glucoside,Active,,,Moderate
Glyceryl Stearate,Functional,Peer-reviewed,0.6,Moderate
Glycine,Active,Peer-reviewed,0.6,Moderate
Glycolipids,Active,,,Moderate
Glycoproteins,Active,,,Moderate
Glycosphingolipids,Active,,,Moderate
Golden-Eye Grass Complex,Active,,,Moderate
Grapeseed Oil,Functional,Peer-reviewed,0.6,Moderate
Green Tea,Active,,,Moderate
Green Tea Extract,Active,Peer-reviewed,0.7,Moderate
Guarana Extract,Active,,,Moderate
HPR,Active,4 (Good),,Moderate
Hamamelis Virginiana Leaf Extract,Active,Peer-reviewed,0.6,Moderate
Hemp Seed Oil,Functional,Peer-reviewed,0.75,Moderate
Heptapeptide-15 Palmitate,Active,,,Moderate
Hexapeptide-11,Active,Peer-reviewed,0.7,Moderate
Hexapeptide-9,Active,Moderate,0.75,Moderate
Hibiscus Fruit Extract,Active,,,Moderate
High Molecular Weight HA,Active,Peer-reviewed,0.65,Moderate
Histidine,Active,Peer-reviewed,0.65,Moderate
Homosalate,Active,Regulatory,0.7,Moderate
Horse Chestnut,Active,,,Moderate
Humectants,Active,,,Moderate
Hydrogenated Lecithin,Functional,Peer-reviewed,0.85,Moderate
Hydrogenated Polyisobutene,Functional,Regulatory,0.6,Moderate
Hydrogenated Vegetable Oil,Functional,Regulatory,0.6,Moderate
Hydrolyzed Collagen,Functional,Peer-reviewed,0.4,Moderate
Hydrolyzed Elastin,Functional,Peer-reviewed,0.4,Moderate
Hydrolyzed F-Fucoidan,Active,,,Moderate
Hydrolyzed Keratin,Functional,Peer-reviewed,0.45,Moderate
Hydrolyzed Oat Protein,Functional,Peer-reviewed,0.55,Moderate
Hydrolyzed Pumpkin Seedcake,Active,,,Moderate
Hydrolyzed Rice Protein,Functional,Peer-reviewed,0.45,Moderate
Hydrolyzed Soy Protein,Functional,Peer-reviewed,0.45,Moderate
Hydrolyzed Wheat Protein,Functional,Peer-reviewed,0.45,Moderate
Hydroxyacetophenone,Functional,Regulatory,0.35,Moderate
Hydroxyethylcellulose,Functional,Regulatory,0.15,Moderate
Hydroxypropyl Chitosan,Functional,Peer-reviewed,0.55,Moderate
Hydroxypropyl Cyclodextrin,Functional,Peer-reviewed,0.35,Moderate
Hydroxypropyl Starch Phosphate,Functional,Regulatory,0.25,Moderate
Hydroxystearic Acid,Functional,Regulatory,0.3,Moderate
Indian Gooseberry,Active,,,Moderate
Inulin,Active,Peer-reviewed,0.6,Moderate
Iron Oxides,Active,Moderate,0.85,Moderate
Isoamyl Laurate,Functional,Regulatory,0.6,Moderate
Isododecane,Functional,Regulatory,0.4,Moderate
Isohexadecane,Functional,Regulatory,0.35,Moderate
Isoleucine,Active,Peer-reviewed,0.6,Moderate
Isopropyl Alcohol,Functional,Regulatory,0.2,Moderate
Isopropyl Myristate,Functional,Peer-reviewed,0.4,Moderate
Isostearyl Isostearate,Functional,Peer-reviewed,0.55,Moderate
Jeju Green Tea Water,Active,,,Moderate
Jojoba Beads,Active,,,Moderate
Jojoba Oil,Functional,Peer-reviewed,0.7,Moderate
Kola Seed Extract,Active,,,Moderate
Konjac Glucomannan,Functional,Peer-reviewed,0.6,Moderate
Kukui Nut Oil,Functional,Peer-reviewed,0.7,Moderate
L-Carnitine,Active,,,Moderate
Lactobacillus Extract Filtrate,Active,,,Moderate
Lactobacillus Ferment,Active,,,Moderate
Lactococcus Ferment Lysate,Active,,,Moderate
Lactoperoxidase,Active,Peer-reviewed,0.7,Moderate
Lamellar Emulsion Base,Functional,Peer-reviewed,0.8,Moderate
Laminaria Ochroleuca (Kelp) Extract,Active,,,Moderate
Lauryl Glucoside,Functional,Peer-reviewed,0.7,Moderate
Lavandula Angustifolia Oil,Functional,Literature,0.2,Moderate
Lecithin,Active,,,Moderate
Leucine,Active,Peer-reviewed,0.6,Moderate
Leuconostoc/Radish Root Ferment Filtrate,Functional,Peer-reviewed,0.3,Moderate
Licochalcone A,Active,,,Moderate
Licorice Extract,Active,,,Moderate
Licorice Root,Active,4 (Good),,Moderate
Lily Extract,Active,,,Moderate
Limonene,Functional,Regulatory,0.05,Moderate
Linalool,Functional,Regulatory,0.05,Moderate
Linolenic Acid,Active,,,Moderate
Lipase,Active,Peer-reviewed,0.65,Moderate
Low Molecular Weight HA,Active,Peer-reviewed,0.7,Moderate
Luffa Cylindrica Extract,Active,,,Moderate
Lysine,Active,,,Moderate
Macadamia Seed Oil,Functional,Peer-reviewed,0.65,Moderate
Macrocystis Pyrifera (Kelp) Extract,Active,,,Moderate
Magnesium PCA,Functional,Peer-reviewed,0.55,Moderate
Magnesium Sulfate,Active,,,Moderate
Malic Acid,Active,Peer-reviewed,0.65,Moderate
Mangifera Ind.,Emollient,4 (Good),,Moderate
Mango Seed Butter,Active,,,Moderate
Marine Collagen,Functional,Peer-reviewed,0.4,Moderate
Marine Extract,Active,,,Moderate
Marshmallow Root,Active,,,Moderate
Marula Oil,Functional,Peer-reviewed,0.65,Moderate
Maslinic Acid,Active,Peer-reviewed,0.7,Moderate
Matrixyl 3000,Active,4 (Good),,Moderate
Meadowfoam Seed Oil,Functional,Peer-reviewed,0.7,Moderate
Melicica™,Active,4 (Good),,Moderate
Menthol,Active,Regulatory,0.2,Moderate
Methionine,Active,Peer-reviewed,0.6,Moderate
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Active,Regulatory,1.0,Moderate
Mica,Functional,Regulatory,0.2,Moderate
Microcrystalline Wax,Functional,Regulatory,0.7,Moderate
Milk Thistle Extract,Active,,,Moderate
Mineral Oil,Functional,Peer-reviewed,0.9,Moderate
Mineral UV Filters,Active,,,Moderate
Moringa Seed Extract,Active,,,Moderate
Mulberry Extract,Active,Moderate,0.75,Moderate
Mushroom Extract,Active,,,Moderate
Myristol Hexapeptide,Active,,,Moderate
Myristol Pentapeptide,Active,,,Moderate
Myristoyl Nonapeptide,Active,,,Moderate
Naringenin Chalcone,Active,,,Moderate
Natural Moisturising Factors,Active,,,Moderate
Neoglucosamine,Active,,,Moderate
Neopentyl Glycol Diheptanoate,Functional,Regulatory,0.6,Moderate
Neurophroline,Active,,,Moderate
Nordihydroguaiaretic Acid,Active,Peer-reviewed,0.6,Moderate
Oat Extract,Active,,,Moderate
Octinoxate,Active,,,Moderate
Octisalate,Active,Regulatory,0.8,Moderate
Octocrylene,Active,Regulatory,0.9,Moderate
Oleic Acid,Functional,Peer-reviewed,0.5,Moderate
OleoShine Green,Functional,4 (Good),,Moderate
Oligopeptide,Active,,,Moderate
Oligopeptide-34,Active,Moderate,0.8,Moderate
Oligopeptide-51,Active,Moderate,0.8,Moderate
Ozokerite,Functional,Regulatory,0.65,Moderate
PEG-100 Stearate,Functional,Regulatory,0.4,Moderate
PEG-40 Hydrogenated Castor Oil,Functional,Regulatory,0.25,Moderate
PEG-6 Caprylic/Capric Glycerides,Functional,Regulatory,0.3,Moderate
PEG-7 Glyceryl Cocoate,Functional,Regulatory,0.5,Moderate
PRO-LONGEVIA®,Active,4 (Good),,Moderate
Padina Pavonica Thallus Extract,Active,,,Moderate
Palmitic Acid,Functional,Peer-reviewed,0.55,Moderate
Palmitoyl  Tripeptide-1,Active,,,Moderate
Palmitoyl Decapeptide,Active,,,Moderate
Palmitoyl Glycine,Active,,,Moderate
Palmitoyl Heptapeptide,Active,,,Moderate
Palmitoyl Nonapeptide,Active,,,Moderate
Palmitoyl Oligopeptide,Active,,,Moderate
Palmitoyl Tetrapeptide,Active,,,Moderate
Palmitoyl Tripeptide,Active,,,Moderate
Papain,Active,Peer-reviewed,0.7,Moderate
Parachlorella Beijerinckii Exopolysaccharides,Active,,,Moderate
Pelargonium Graveolens Oil,Functional,Literature,0.2,Moderate
Pentapeptide,Active,,,Moderate
Pentapeptide-18,Active,Peer-reviewed,0.7,Moderate
Pentylene Glycol,Functional,Regulatory,0.45,Moderate
Perfluorodecalin,Active,,,Moderate
Phenoxyethanol,Functional,Regulatory,0.2,Moderate
Phenylalanine,Active,Peer-reviewed,0.6,Moderate
Phospholipids,Active,,,Moderate
Phytic Acid,Active,,,Moderate
PhytoCellTec™,Active,4 (Good),,Moderate
Phytosphingos.,Barrier,4 (Good),,Moderate
Plankton Extract,Active,,,Moderate
Polyacrylate Crosspolymer-6,Functional,Regulatory,0.4,Moderate
Polyacrylate-13,Functional,Regulatory,0.2,Moderate
Polyglutamic Ac.,Humectant,4 (Good),,Moderate
Polyglutamic Acid,Functional,Peer-reviewed,0.65,Moderate
Polyglyceryl-10 Laurate,Functional,Regulatory,0.35,Moderate
Polyglyceryl-6 Caprylate,Functional,Regulatory,0.35,Moderate
Polyhydroxy Acids,Active,,,Moderate
Polyhydroxybutyrate,Functional,Peer-reviewed,0.45,Moderate
Polyisobutene,Functional,Regulatory,0.6,Moderate
Polyporus Umbellatus (Mushroom) Extract,Active,,,Moderate
Polyquaternium-51,Functional,Peer-reviewed,0.8,Moderate
Polysorbate 20,Functional,Regulatory,0.3,Moderate
Polysorbate 80,Functional,Regulatory,0.3,Moderate
Polyurethane-35,Functional,Regulatory,0.35,Moderate
Pomegranate Ex,Active,4 (Good),,Moderate
Porphyridium Cruentum Extract,Active,,,Moderate
Potassium Azeloyl Diglycinate,Active,,,Moderate
Potassium Benzoate,Functional,Regulatory,0.25,Moderate
