INCI_Name,Effect_Strength_Weight,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Evidence_Quality
Alpha Arbutin,0.75,Limited,0.4,0.3,Limited clinical evidence
Tranexamic Acid,0.85,Limited,0.4,0.34,Limited clinical evidence
Kojic Acid,0.7,Limited,0.4,0.28,Limited clinical evidence
Ferulic Acid,0.8,Moderate,0.7,0.55,Moderate clinical evidence
Tocopherol,0.65,Moderate,0.7,0.455,Moderate clinical evidence
Tocopheryl Acetate,0.6,Moderate,0.7,0.42,Moderate
Resveratrol,0.75,Moderate,0.7,0.52,Moderate clinical evidence
Green Tea Extract,0.7,Moderate,0.7,0.48,Moderate
Centella Asiatica Extract,0.8,Limited,0.4,0.32,Limited clinical evidence
Madecassoside,0.85,Limited,0.4,0.34,Limited clinical evidence
Asiaticoside,0.8,Limited,0.4,0.32,Limited clinical evidence
Urea,0.75,Limited,0.4,0.3,Strong Clinical
Glycerin,0.65,Limited,0.4,0.26,Strong Clinical
Sodium PCA,0.6,Limited,0.4,0.24,Moderate
Betaine,0.6,Limited,0.4,0.24,Moderate
Propylene Glycol,0.4,Limited,0.4,0.16,Moderate
Butylene Glycol,0.45,Limited,0.4,0.18,Moderate
Squalane,0.7,Limited,0.4,0.28,Moderate
Shea Butter,0.6,Limited,0.4,0.24,Moderate
Petrolatum,0.9,Limited,0.4,0.36,Strong Clinical
Dimethicone,0.75,Limited,0.4,0.3,Moderate
Cyclopentasiloxane,0.5,Limited,0.4,0.2,Moderate
Phenoxyethanol,0.2,Limited,0.4,0.08,Moderate
Ethylhexylglycerin,0.3,Limited,0.4,0.12,Strong Clinical
Sodium Benzoate,0.25,Limited,0.4,0.1,Moderate
Potassium Sorbate,0.25,Limited,0.4,0.1,Moderate
Disodium EDTA,0.15,Limited,0.4,0.06,Moderate
Citric Acid,0.2,Limited,0.4,0.08,Moderate
Sodium Citrate,0.2,Limited,0.4,0.08,Moderate
Carbomer,0.15,Limited,0.4,0.06,Moderate
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,0.2,Limited,0.4,0.08,Moderate
Triethanolamine,0.1,Limited,0.4,0.04,Moderate
Xanthan Gum,0.15,Limited,0.4,0.06,Moderate
Hydroxyethylcellulose,0.15,Limited,0.4,0.06,Moderate
Polyacrylate-13,0.2,Limited,0.4,0.08,Moderate
Isohexadecane,0.35,Limited,0.4,0.14,Moderate
Caprylic/Capric Triglyceride,0.6,Limited,0.4,0.24,Moderate
Cetearyl Alcohol,0.6,Limited,0.4,0.24,Moderate
Cetyl Alcohol,0.55,Limited,0.4,0.22,Moderate
Stearyl Alcohol,0.55,Limited,0.4,0.22,Moderate
Ceteareth-20,0.25,Limited,0.4,0.1,Moderate
Polysorbate 20,0.3,Limited,0.4,0.12,Moderate
Polysorbate 80,0.3,Limited,0.4,0.12,Moderate
PEG-40 Hydrogenated Castor Oil,0.25,Limited,0.4,0.1,Moderate
Sodium Laureth Sulfate,0.5,Limited,0.4,0.2,Moderate
Sodium Lauryl Sulfate,0.45,Limited,0.4,0.18,Moderate
Cocamidopropyl Betaine,0.6,Limited,0.4,0.24,Moderate
Decyl Glucoside,0.7,Limited,0.4,0.28,Moderate
Coco Glucoside,0.7,Limited,0.4,0.28,Moderate
Sodium Cocoyl Isethionate,0.75,Limited,0.4,0.3,Moderate
Sodium Lauroyl Sarcosinate,0.7,Limited,0.4,0.28,Moderate
Disodium Laureth Sulfosuccinate,0.75,Limited,0.4,0.3,Moderate
Sodium Cocoyl Glutamate,0.8,Limited,0.4,0.3200000000000001,Moderate
Sodium Lauroyl Glutamate,0.8,Limited,0.4,0.3200000000000001,Moderate
PEG-7 Glyceryl Cocoate,0.5,Limited,0.4,0.2,Moderate
Glyceryl Stearate,0.6,Limited,0.4,0.24,Moderate
PEG-100 Stearate,0.4,Limited,0.4,0.16,Moderate
Sorbitan Olivate,0.7,Limited,0.4,0.28,Moderate
Cetearyl Olivate,0.7,Limited,0.4,0.28,Moderate
Cholesterol,0.9,Limited,0.4,0.36,Moderate
Linoleic Acid,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Oleic Acid,0.5,Limited,0.4,0.2,Moderate
Palmitic Acid,0.55,Limited,0.4,0.22,Moderate
Stearic Acid,0.55,Limited,0.4,0.22,Moderate
Behenyl Alcohol,0.6,Limited,0.4,0.24,Moderate
Arachidyl Alcohol,0.6,Limited,0.4,0.24,Moderate
Arachidyl Glucoside,0.7,Limited,0.4,0.28,Moderate
Hydrogenated Lecithin,0.85,Limited,0.4,0.34,Moderate
Phytosphingosine,0.9,Limited,0.4,0.36,Limited clinical evidence
Ceramide AP,0.85,Limited,0.4,0.34,Strong Clinical
Ceramide EOP,0.9,Limited,0.4,0.36,Strong Clinical
Ceramide NS,0.85,Limited,0.4,0.34,Strong Clinical
Copper Tripeptide-1,0.9,Limited,0.4,0.36,Limited Human Data
Palmitoyl Pentapeptide-4,0.85,Limited,0.4,0.34,Limited Human Data
Palmitoyl Tripeptide-1,0.8,Limited,0.4,0.3200000000000001,Limited Human Data
Palmitoyl Tetrapeptide-7,0.8,Limited,0.4,0.3200000000000001,Limited Human Data
Acetyl Hexapeptide-8,0.75,Limited,0.4,0.3,Limited Human Data
Hexapeptide-11,0.7,Limited,0.4,0.28,Limited Human Data
Oligopeptide-1,0.9,Limited,0.4,0.36,Limited Human Data
Oligopeptide-2,0.85,Limited,0.4,0.34,Limited Human Data
Polyglutamic Acid,0.65,Limited,0.4,0.26,Moderate
Ectoin,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Beta-Glucan,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Colloidal Oatmeal,0.85,Limited,0.4,0.34,Limited clinical evidence
Allantoin,0.6,Limited,0.4,0.24,Moderate
N-Acetyl Glucosamine,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Tranexamic Acid Cetyl Ester,0.75,Limited,0.4,0.3,Limited clinical evidence
Niacinamide Ascorbate,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Ascorbyl Glucoside,0.7,Moderate,0.7,0.4899999999999999,Moderate
3-O-Ethyl Ascorbic Acid,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Magnesium Ascorbyl Phosphate,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Sodium Ascorbyl Phosphate,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Retinal,0.95,Limited,0.4,0.38,Limited clinical evidence
Hydroxypinacolone Retinoate,0.85,Limited,0.4,0.34,Limited clinical evidence
Bakuchiol,0.7,Limited,0.4,0.28,Moderate
Azelaoyl Diglycinate,0.75,Limited,0.4,0.3,Limited clinical evidence
Lipochroman-6,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Astaxanthin,0.9,Moderate,0.7,0.63,Moderate clinical evidence
Coenzyme Q10,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Idebenone,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Alpha-Lipoic Acid,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Glutathione,0.7,Moderate,0.7,0.4899999999999999,Moderate
Cysteamine HCl,0.9,Limited,0.4,0.36,Limited clinical evidence
Thiamidol,0.9,Limited,0.4,0.36,Limited clinical evidence
Dipotassium Glycyrrhizate,0.75,Limited,0.4,0.3,Limited clinical evidence
Glycyrrhiza Glabra Root Extract,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Artemisia Capillaris Extract,0.75,Limited,0.4,0.3,Limited clinical evidence
Propanediol,0.45,Limited,0.4,0.18,Moderate
Saccharomyces Ferment Filtrate,0.75,Limited,0.4,0.3,Limited clinical evidence
Galactomyces Ferment Filtrate,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Bifida Ferment Lysate,0.85,Limited,0.4,0.34,Limited clinical evidence
Lactobacillus Ferment Lysate,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Leuconostoc/Radish Root Ferment Filtrate,0.3,Limited,0.4,0.12,Moderate
Pseudoalteromonas Ferment Extract,0.85,Limited,0.4,0.34,Limited clinical evidence
Alteromonas Ferment Extract,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Tremella Fuciformis Polysaccharide,0.65,Limited,0.4,0.26,Moderate
Pullulan,0.4,Limited,0.4,0.16,Moderate
Biosaccharide Gum-1,0.7,Limited,0.4,0.28,Moderate
Sodium Hyaluronate Crosspolymer,0.75,Limited,0.4,0.3,Limited clinical evidence
Polyquaternium-51,0.8,Limited,0.4,0.3200000000000001,Moderate
Niacinamide Ferulate,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Sodium Retinoyl Hyaluronate,0.85,Limited,0.4,0.34,Limited clinical evidence
Hydroxystearic Acid,0.3,Limited,0.4,0.12,Moderate
Polyhydroxybutyrate,0.45,Limited,0.4,0.18,Moderate
Gluconolactone,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Lactobionic Acid,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Mandelic Acid,0.75,Limited,0.4,0.3,Limited clinical evidence
Succinic Acid,0.7,Limited,0.4,0.28,Moderate
Zinc Gluconate,0.75,Limited,0.4,0.3,Limited clinical evidence
Copper PCA,0.7,Limited,0.4,0.28,Moderate
Magnesium PCA,0.55,Limited,0.4,0.22,Moderate
Silica,0.4,Limited,0.4,0.16,Moderate
Mica,0.2,Limited,0.4,0.08,Moderate
Titanium Dioxide,1.0,Limited,0.4,0.4,Limited clinical evidence
Zinc Oxide,1.0,Limited,0.4,0.4,Limited clinical evidence
Diethylamino Hydroxybenzoyl Hexyl Benzoate,0.95,Limited,0.4,0.38,Moderate
Ethylhexyl Triazone,0.95,Limited,0.4,0.38,Moderate
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,1.0,Limited,0.4,0.4,Moderate
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,1.0,Limited,0.4,0.4,Moderate
Octocrylene,0.9,Limited,0.4,0.36,Moderate
Butyl Methoxydibenzoylmethane,0.9,Limited,0.4,0.36,Moderate
Homosalate,0.7,Limited,0.4,0.28,Moderate
Octisalate,0.8,Limited,0.4,0.3200000000000001,Moderate
Ensulizole,0.8,Limited,0.4,0.3200000000000001,Moderate
Drometrizole Trisiloxane,0.95,Limited,0.4,0.38,Moderate
Ecamsule,0.95,Limited,0.4,0.38,Moderate
Polypodium Leucotomos Extract,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Niacinamide Salicylate,0.75,Limited,0.4,0.3,Limited clinical evidence
Capryloyl Salicylic Acid,0.85,Limited,0.4,0.34,Limited clinical evidence
Hexylresorcinol,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Phenylethyl Resorcinol,0.85,Limited,0.4,0.34,Limited clinical evidence
Dihydroxyacetone,0.3,Limited,0.4,0.12,Moderate
Erythrulose,0.35,Limited,0.4,0.14,Moderate
Caffeine,0.65,Moderate,0.7,0.455,Moderate
EGCG,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Niacinamide PCA,0.7,Limited,0.4,0.28,Limited clinical evidence
Sodium DNA,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
PDRN,0.9,Moderate,0.4,0.36,Moderate Clinical (procedure‑based)
Sh-Oligopeptide-1,0.9,Limited,0.4,0.36,Limited Human Data
Sh-Polypeptide-11,0.85,Limited,0.4,0.34,Limited Human Data
Acetyl Tetrapeptide-5,0.7,Limited,0.4,0.28,Limited Human Data
Tripeptide-1,0.85,Limited,0.4,0.34,Limited Human Data
Palmitoyl Dipeptide-7,0.75,Limited,0.4,0.3,Limited Human Data
Acetyl Octapeptide-3,0.75,Limited,0.4,0.3,Limited Human Data
Pentapeptide-18,0.7,Limited,0.4,0.28,Limited Human Data
Oligopeptide-20,0.85,Limited,0.4,0.34,Limited Human Data
Sodium Carboxymethyl Beta-Glucan,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Hydroxypropyltrimonium Hyaluronate,0.75,Limited,0.4,0.3,Limited clinical evidence
Sodium Acetylated Hyaluronate,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Hydrolyzed Hyaluronic Acid,0.7,Limited,0.4,0.28,Limited clinical evidence
Sodium Lactate,0.6,Limited,0.4,0.24,Moderate
Ammonium Lactate,0.7,Limited,0.4,0.28,Moderate
Sodium PCA Lactate,0.6,Limited,0.4,0.24,Moderate
Trehalose,0.6,Limited,0.4,0.24,Moderate
Erythritol,0.55,Limited,0.4,0.22,Moderate
Sodium Polyglutamate,0.7,Limited,0.4,0.28,Moderate
Saccharide Isomerate,0.75,Limited,0.4,0.3,Limited clinical evidence
Inulin,0.6,Limited,0.4,0.24,Moderate
Alpha-Glucan Oligosaccharide,0.65,Limited,0.4,0.26,Moderate
Fructooligosaccharides,0.6,Limited,0.4,0.24,Moderate
Betaine Salicylate,0.7,Limited,0.4,0.28,Moderate
Gluconic Acid,0.7,Limited,0.4,0.28,Moderate
Malic Acid,0.65,Limited,0.4,0.26,Moderate
Tartaric Acid,0.6,Limited,0.4,0.24,Moderate
Citramalic Acid,0.6,Limited,0.4,0.24,Moderate
Pyruvic Acid,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Azelaic Acid Potassium Salt,0.7,Limited,0.4,0.28,Limited clinical evidence
Ferulic Acid Ethyl Ester,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Carnosine,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Ergothioneine,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Lutein,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Zeaxanthin,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Baicalin,0.75,Limited,0.4,0.3,Limited clinical evidence
Baicalein,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Madecassic Acid,0.85,Limited,0.4,0.34,Limited clinical evidence
Asiatic Acid,0.85,Limited,0.4,0.34,Limited clinical evidence
Hesperidin Methyl Chalcone,0.75,Limited,0.4,0.3,Limited clinical evidence
Diosmin,0.7,Limited,0.4,0.28,Moderate
Niacinamide Chloride,0.7,Limited,0.4,0.28,Limited clinical evidence
Adenosine,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Proline,0.7,Limited,0.4,0.28,Moderate
Glycine,0.6,Limited,0.4,0.24,Moderate
Arginine,0.7,Limited,0.4,0.28,Moderate
Histidine,0.65,Moderate,0.7,0.455,Moderate
Serine,0.6,Limited,0.4,0.24,Moderate
Alanine,0.55,Limited,0.4,0.22,Moderate
Valine,0.6,Limited,0.4,0.24,Moderate
Leucine,0.6,Limited,0.4,0.24,Moderate
Isoleucine,0.6,Limited,0.4,0.24,Moderate
Phenylalanine,0.6,Limited,0.4,0.24,Moderate
Tyrosine,0.65,Limited,0.4,0.26,Moderate
Methionine,0.6,Moderate,0.7,0.42,Moderate
Cysteine,0.65,Moderate,0.7,0.455,Moderate
Taurine,0.6,Limited,0.4,0.24,Moderate
Carnitine,0.7,Limited,0.4,0.28,Moderate
Creatine,0.7,Limited,0.4,0.28,Moderate
Ubiquinol,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Sodium Ascorbyl Phosphate Chloride,0.75,Limited,0.4,0.3,Limited clinical evidence
Ascorbyl Tetraisopalmitate,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Hydroxyacetophenone,0.35,Moderate,0.7,0.245,Moderate
Ethylhexylglycerin Carbonate,0.3,Limited,0.4,0.12,Strong Clinical
Caprylyl Glycol,0.4,Limited,0.4,0.16,Moderate
Pentylene Glycol,0.45,Limited,0.4,0.18,Moderate
Hydroxypropyl Cyclodextrin,0.35,Limited,0.4,0.14,Moderate
Cyclodextrin,0.4,Limited,0.4,0.16,Moderate
Hydroxypropyl Starch Phosphate,0.25,Limited,0.4,0.1,Moderate
Aluminum Starch Octenylsuccinate,0.3,Limited,0.4,0.12,Moderate
Polyurethane-35,0.35,Limited,0.4,0.14,Moderate
VP/VA Copolymer,0.25,Limited,0.4,0.1,Moderate
Sodium Chloride,0.05,Limited,0.4,0.02,Moderate
Calcium PCA,0.65,Limited,0.4,0.26,Moderate
Magnesium Ascorbyl Phosphate Phosphate,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Sodium Cocoyl Alaninate,0.75,Limited,0.4,0.3,Moderate
Sodium Cocoyl Glycinate,0.8,Limited,0.4,0.3200000000000001,Moderate
Disodium Cocoyl Glutamate,0.8,Limited,0.4,0.3200000000000001,Moderate
Lauryl Glucoside,0.7,Limited,0.4,0.28,Moderate
Coco-Betaine,0.6,Limited,0.4,0.24,Moderate
Sodium Lauroamphoacetate,0.75,Limited,0.4,0.3,Moderate
PEG-6 Caprylic/Capric Glycerides,0.3,Limited,0.4,0.12,Moderate
Polyglyceryl-10 Laurate,0.35,Limited,0.4,0.14,Moderate
Polyglyceryl-6 Caprylate,0.35,Limited,0.4,0.14,Moderate
Glyceryl Caprylate,0.4,Limited,0.4,0.16,Moderate
Sodium Levulinate,0.3,Limited,0.4,0.12,Moderate
Sodium Anisate,0.3,Limited,0.4,0.12,Moderate
Caprylhydroxamic Acid,0.45,Limited,0.4,0.18,Moderate
Dehydroacetic Acid,0.35,Limited,0.4,0.14,Moderate
Benzyl Alcohol,0.2,Limited,0.4,0.08,Moderate
Potassium Benzoate,0.25,Limited,0.4,0.1,Moderate
Sodium Dehydroacetate,0.3,Limited,0.4,0.12,Moderate
Undecylenoyl Glycine,0.75,Limited,0.4,0.3,Limited clinical evidence
Oleanolic Acid,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Nordihydroguaiaretic Acid,0.6,Moderate,0.7,0.42,Moderate
Apigenin,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Quercetin,0.8,Moderate,0.7,0.5599999999999999,Moderate clinical evidence
Rutin,0.7,Limited,0.4,0.28,Moderate
