INCI_Name,Effect_Strength_Weight,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Evidence_Quality
Copper Heptapeptide-14 Pantothenate,,Limited,0.4,,Limited Human Data
Coffee Seed Extract,,Limited,0.4,,Moderate
Cinnamon Bark,,Limited,0.4,,Moderate
Fomes Officinalis (Mushroom) Extract,,Limited,0.4,,Moderate
Ginkgo Biloba,,Limited,0.4,,Moderate
Feverfew Extract,,Limited,0.4,,Moderate
Ferric Hexapeptide,,Limited,0.4,,Limited Human Data
Fernblock,,Limited,0.4,,Moderate
Essential Lipids,,Limited,0.4,,Moderate
Endothelyol,,Limited,0.4,,Moderate
Ethylhexyl Salicylate,,Limited,0.4,,Moderate
Ethyl Ascorbic Acid,,Limited,0.4,,Limited clinical evidence
Green Tea,,Limited,0.4,,Moderate
Glycosphingolipids,,Limited,0.4,,Moderate
Glycoproteins,,Limited,0.4,,Moderate
Glycolipids,,Limited,0.4,,Moderate
Golden-Eye Grass Complex,,Moderate,0.7,,Moderate
Glyceryl Glucoside,,Limited,0.4,,Moderate
Indian Gooseberry,,Limited,0.4,,Moderate
Hydrolyzed Pumpkin Seedcake,,Limited,0.4,,Moderate
Hydrolyzed F-Fucoidan,,Limited,0.4,,Moderate
Humectants,,Limited,0.4,,Moderate
Hibiscus Fruit Extract,,Limited,0.4,,Moderate
Horse Chestnut,,Moderate,0.7,,Moderate
Heptapeptide-15 Palmitate,,Limited,0.4,,Limited Human Data
Guarana Extract,,Limited,0.4,,Moderate
Lecithin,,Limited,0.4,,Moderate
L-Carnitine,,Limited,0.4,,Moderate
Laminaria Ochroleuca (Kelp) Extract,,Limited,0.4,,Moderate
Lactococcus Ferment Lysate,,Limited,0.4,,Moderate
Lactobacillus Ferment,,Limited,0.4,,Moderate
Lactobacillus Extract Filtrate,,Limited,0.4,,Moderate
Kola Seed Extract,,Limited,0.4,,Moderate
Jeju Green Tea Water,,Moderate,0.7,,Moderate
Jojoba Beads,,Limited,0.4,,Moderate
Macrocystis Pyrifera (Kelp) Extract,,Limited,0.4,,Moderate
Magnesium Sulfate,,Limited,0.4,,Moderate
Lysine,,Limited,0.4,,Moderate
Lily Extract,,Limited,0.4,,Moderate
Luffa Cylindrica Extract,,Limited,0.4,,Moderate
Linolenic Acid,,Limited,0.4,,Moderate
Licorice Extract,,Limited,0.4,,Moderate
Natural Moisturising Factors,,Limited,0.4,,Moderate
Licochalcone A,,Limited,0.4,,Moderate
Naringenin Chalcone,,Limited,0.4,,Moderate
Myristoyl Nonapeptide,,Limited,0.4,,Limited Human Data
Myristol Pentapeptide,,Limited,0.4,,Limited Human Data
Milk Thistle Extract,,Limited,0.4,,Moderate
Myristol Hexapeptide,,Limited,0.4,,Limited Human Data
Mushroom Extract,,Limited,0.4,,Moderate
Moringa Seed Extract,,Limited,0.4,,Moderate
Marshmallow Root,,Limited,0.4,,Moderate
Mineral UV Filters,,Limited,0.4,,Moderate
Marine Extract,,Limited,0.4,,Moderate
Mango Seed Butter,,Limited,0.4,,Moderate
Palmitoyl Oligopeptide,,Limited,0.4,,Limited Human Data
Palmitoyl Nonapeptide,,Limited,0.4,,Limited Human Data
Palmitoyl Pentapeptide,,Limited,0.4,,Limited Human Data
Palmitoyl Glycine,,Limited,0.4,,Limited Human Data
Palmitoyl Heptapeptide,,Limited,0.4,,Limited Human Data
Palmitoyl Decapeptide,,Limited,0.4,,Limited Human Data
Oligopeptide,,Limited,0.4,,Limited Human Data
Padina Pavonica Thallus Extract,,Limited,0.4,,Moderate
Oat Extract,,Limited,0.4,,Moderate
Octinoxate,,Limited,0.4,,Moderate
Polyhydroxy Acids,,Limited,0.4,,Moderate
Porphyridium Cruentum Extract,,Limited,0.4,,Moderate
Polyporus Umbellatus (Mushroom) Extract,,Limited,0.4,,Moderate
Phytic Acid,,Limited,0.4,,Moderate
Plankton Extract,,Limited,0.4,,Moderate
Perfluorodecalin,,Limited,0.4,,Moderate
Phospholipids,,Limited,0.4,,Moderate
Palmitoyl  Tripeptide-1,,Limited,0.4,,Limited Human Data
Pentapeptide,,Limited,0.4,,Limited Human Data
Palmitoyl Tetrapeptide,,Limited,0.4,,Limited Human Data
Parachlorella Beijerinckii Exopolysaccharides,,Limited,0.4,,Moderate
Palmitoyl Tripeptide,,Limited,0.4,,Limited Human Data
Neurophroline,,Limited,0.4,,Moderate
Retinyl Propionate,,Limited,0.4,,Moderate
Red Algae,,Limited,0.4,,Moderate
Pseudoalteromonas Exopolysaccharides,,Limited,0.4,,Moderate
Potassium Azeloyl Diglycinate,,Limited,0.4,,Moderate
Probiotics,,Limited,0.4,,Moderate
Prickly Pear Extract,,Limited,0.4,,Moderate
Snow Mushroom Extract,,Limited,0.4,,Moderate
Prebiotics,,Limited,0.4,,Moderate
Sesame Seed Oil,,Limited,0.4,,Moderate
Silk Protein,,Limited,0.4,,Moderate
Sh-Oligopeptide,,Limited,0.4,,Limited Human Data
Sea Buckthorn Water,,Limited,0.4,,Moderate
Saskatoon Berry,,Limited,0.4,,Moderate
Rosemary Leaf Extract,,Limited,0.4,,Moderate
Safflower Seed Oil,,Limited,0.4,,Moderate
Saccharomyces Cerevisiae (Yeast) Extract,,Limited,0.4,,Moderate
Sacred Lotus Flower Extract,,Limited,0.4,,Moderate
Tasmanian Pepperberry Extract,,Moderate,0.7,,Moderate
Rhamnose,,Limited,0.4,,Moderate
Symsitive,,Limited,0.4,,Moderate
Sugar Cane Extract,,Limited,0.4,,Moderate
Sunflower Oil,,Moderate,0.7,,Moderate
Spent Grain Wax,,Limited,0.4,,Moderate
Sulfur,,Limited,0.4,,Moderate
Turmeric Root Extract,,Limited,0.4,,Moderate
Tripleurospermum Maritimum Extract,,Limited,0.4,,Moderate
Triazine Diethyl Butamidotriazone,,Limited,0.4,,Moderate
Tomato Stem Cells,,Limited,0.4,,Moderate
Teprenone,,Limited,0.4,,Moderate
Threonine,,Limited,0.4,,Moderate
Tetrahexyldecyl Ascorbate,,Limited,0.4,,Moderate
Zinc,,Limited,0.4,,Moderate
Yerba Mate Extract,,Limited,0.4,,Moderate
Yeast Amino Acids,,Limited,0.4,,Moderate
Willow Herb Extract,,Moderate,0.7,,Moderate
Willow Bark Extract,,Limited,0.4,,Moderate
Wild Cherry Extract,,Moderate,0.7,,Moderate
White Tea,,Moderate,0.7,,Moderate
Vitamin K1,,Limited,0.4,,Moderate
Vitamin E,,Limited,0.4,,Moderate
Vitamin C,,Moderate,0.7,,Moderate
Vitamin B5,,Limited,0.4,,Moderate
Vitamin A,,Limited,0.4,,Moderate
Vibrio Alginolyticus Ferment Filtrate,,Limited,0.4,,Moderate
Tea Tree Oil,,Limited,0.4,,Moderate
Zinc Sulfate,,Limited,0.4,,Moderate
Neoglucosamine,,Limited,0.4,,Moderate
Marine Bioretinol Complex,0.7,Moderate,0.7,0.4899999999999999,Moderate clinical evidence
Vegan Polydeoxyribonucleotide,0.85,Moderate,0.4,0.34,Moderate Clinical (procedure‑based)
Senolytic Peptide Complex,0.8,Limited,0.4,0.3200000000000001,Limited Human Data
Nicotinamide Mononucleotide,0.75,Moderate,0.7,0.5249999999999999,Limited / Emerging
Fucose-Rich Polysaccharide Complex,0.8,Limited,0.4,0.3200000000000001,Limited clinical evidence
Postbiotic Lactobacillus Metabolite,0.75,Limited,0.4,0.3,Limited clinical evidence
Pycnogenol,0.7,Moderate,0.7,0.4899999999999999,Moderate
Ceramide EOS,0.95,Strong,1.0,0.95,Strong Clinical
Hexapeptide-9,0.75,Limited,0.7,0.5249999999999999,Limited Human Data
Azelaoyl Glycine,0.8,Moderate,0.7,0.5599999999999999,Moderate
Azelaic Acid Derivative,0.75,Moderate,0.7,0.5249999999999999,Moderate clinical evidence
Glutathione Ethyl Ester,0.75,Moderate,0.7,0.5249999999999999,Moderate
Tripeptide-10 Citrulline,0.7,Limited,0.7,0.4899999999999999,Limited Human Data
Mulberry Extract,0.75,Moderate,0.7,0.5249999999999999,Moderate
Arnica Montana Extract,0.6,Limited,0.4,0.24,Limited / Emerging
Azelaic Acid Liposome,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Glucosyl Hesperidin,0.6,Limited,0.4,0.24,Limited / Emerging
Tetrapeptide-21,0.75,Limited,0.7,0.5249999999999999,Limited Human Data
Copper Lysinate/Prolinate,0.85,Moderate,0.7,0.595,Moderate
Hydroxypinacolone Retinoate Complex,0.9,Strong,1.0,0.9,Strong Clinical
Oligopeptide-68,0.75,Limited,0.4,0.3,Limited Human Data
Tranexamic Acid Polymer,0.85,Limited,0.4,0.34,Limited clinical evidence
Oligopeptide-34,0.8,Limited,0.7,0.5599999999999999,Limited Human Data
Oligopeptide-51,0.8,Limited,0.7,0.5599999999999999,Limited Human Data
Exosome Extract,0.85,Moderate,0.4,0.34,Emerging Clinical
Ethylhexyl Methoxycinnamate,0.8,Strong,1.0,0.8,Strong Clinical
Iron Oxides,0.85,Moderate,0.7,0.595,Moderate
Retinyl Acetate,0.6,Moderate,0.7,0.42,Moderate
Retinyl Linoleate,0.55,Limited,0.4,0.22,Limited / Emerging
Oligopeptide-24,0.85,Limited,0.4,0.34,Limited Human Data
Callus Culture Extract,0.7,Moderate,0.7,0.4899999999999999,Limited / Emerging
Human Adipose Stem Cell Conditioned Media,0.9,Limited,0.4,0.36,Limited / Emerging
Tranexamic Acid Cetyl Phosphate,0.9,Strong,1.0,0.9,Strong Clinical
4-Methoxysalicylic Acid Potassium Salt,0.85,Strong,1.0,0.85,Strong Clinical
Tranexamic Acid Stearate,0.85,Moderate,0.7,0.595,Moderate clinical evidence
Madecassoside Asiatica Complex,0.8,Strong,1.0,0.8,Strong Clinical
Aqua,,Limited,0.4,,
Sodium Hyaluronate,0.75,Strong,1.0,0.75,
Cocos Nucifera Oil,0.3,Limited,0.4,0.12,
Water/Aqua,0.0,Moderate,0.7,0.0,
Propylene Glycol Dicaprylate/Dicaprate,1.0,Limited,0.4,0.4,
Titanium Dioxide (nano),5.0,Strong,1.0,5.0,
Nylon-12,1.0,Limited,0.4,0.4,
Diisopropyl Adipate,1.0,Moderate,0.7,0.7,
Silybum Marianum Extract,2.0,Moderate,0.7,1.4,
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,0.0,Limited,0.4,0.0,
Acacia Senegal Gum,1.0,Limited,0.4,0.4,
Trisodium Ethylenediamine Disuccinate,0.0,Limited,0.4,0.0,
Titanium Dioxide,5.0,Limited,1.0,5.0,Limited clinical evidence
Zinc Oxide,5.0,Limited,1.0,5.0,Limited clinical evidence
Avobenzone,5.0,Strong,1.0,5.0,Strong Clinical
Octinoxate,5.0,Strong,1.0,5.0,Moderate
Octisalate,5.0,Strong,1.0,5.0,Moderate
Octocrylene,5.0,Strong,1.0,5.0,Moderate
Homosalate,5.0,Strong,1.0,5.0,Moderate
Oxybenzone,5.0,Strong,1.0,5.0,
Ensulizole,5.0,Strong,1.0,5.0,Moderate
Meradimate,5.0,Strong,1.0,5.0,
Ecamsule,5.0,Strong,1.0,5.0,Moderate
Diethylamino Hydroxybenzoyl Hexyl Benzoate,5.0,Strong,1.0,5.0,Moderate
Ethylhexyl Triazone,5.0,Strong,1.0,5.0,Moderate
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,5.0,Strong,1.0,5.0,Moderate
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,5.0,Strong,1.0,5.0,Moderate
Polysilicone-15,5.0,Strong,1.0,5.0,
Terephthalylidene Dicamphor Sulfonic Acid,5.0,Strong,1.0,5.0,
Phenylbenzimidazole Sulfonic Acid,5.0,Strong,1.0,5.0,
Isoamyl p-Methoxycinnamate,5.0,Strong,1.0,5.0,
Diethylhexyl Butamido Triazone,5.0,Strong,1.0,5.0,
Drometrizole Trisiloxane,5.0,Strong,1.0,5.0,Moderate
Benzophenone-1,5.0,Strong,1.0,5.0,
Benzophenone-2,5.0,Strong,1.0,5.0,
Benzophenone-3,5.0,Strong,1.0,5.0,
Benzophenone-4,5.0,Strong,1.0,5.0,
Benzophenone-5,5.0,Strong,1.0,5.0,
Camphor Benzalkonium Methosulfate,5.0,Strong,1.0,5.0,
UV Filter Variant 1,5.0,Strong,1.0,5.0,
UV Filter Variant 2,5.0,Strong,1.0,5.0,
UV Filter Variant 3,5.0,Strong,1.0,5.0,
UV Filter Variant 4,5.0,Strong,1.0,5.0,
UV Filter Variant 5,5.0,Strong,1.0,5.0,
UV Filter Variant 6,5.0,Strong,1.0,5.0,
UV Filter Variant 7,5.0,Strong,1.0,5.0,
UV Filter Variant 8,5.0,Strong,1.0,5.0,
UV Filter Variant 9,5.0,Strong,1.0,5.0,
UV Filter Variant 10,5.0,Strong,1.0,5.0,
UV Filter Variant 11,5.0,Strong,1.0,5.0,
UV Filter Variant 12,5.0,Strong,1.0,5.0,
UV Filter Variant 13,5.0,Strong,1.0,5.0,
UV Filter Variant 14,5.0,Strong,1.0,5.0,
UV Filter Variant 15,5.0,Strong,1.0,5.0,
UV Filter Variant 16,5.0,Strong,1.0,5.0,
UV Filter Variant 17,5.0,Strong,1.0,5.0,
UV Filter Variant 18,5.0,Strong,1.0,5.0,
UV Filter Variant 19,5.0,Strong,1.0,5.0,
UV Filter Variant 20,5.0,Strong,1.0,5.0,
UV Filter Variant 21,5.0,Strong,1.0,5.0,
UV Filter Variant 22,5.0,Strong,1.0,5.0,
UV Filter Variant 23,5.0,Strong,1.0,5.0,
UV Filter Variant 24,5.0,Strong,1.0,5.0,
UV Filter Variant 25,5.0,Strong,1.0,5.0,
UV Filter Variant 26,5.0,Strong,1.0,5.0,
UV Filter Variant 27,5.0,Strong,1.0,5.0,
UV Filter Variant 28,5.0,Strong,1.0,5.0,
UV Filter Variant 29,5.0,Strong,1.0,5.0,
UV Filter Variant 30,5.0,Strong,1.0,5.0,
UV Filter Variant 31,5.0,Strong,1.0,5.0,
UV Filter Variant 32,5.0,Strong,1.0,5.0,
UV Filter Variant 33,5.0,Strong,1.0,5.0,
UV Filter Variant 34,5.0,Strong,1.0,5.0,
UV Filter Variant 35,5.0,Strong,1.0,5.0,
UV Filter Variant 36,5.0,Strong,1.0,5.0,
UV Filter Variant 37,5.0,Strong,1.0,5.0,
UV Filter Variant 38,5.0,Strong,1.0,5.0,
UV Filter Variant 39,5.0,Strong,1.0,5.0,
UV Filter Variant 40,5.0,Strong,1.0,5.0,
UV Filter Variant 41,5.0,Strong,1.0,5.0,
UV Filter Variant 42,5.0,Strong,1.0,5.0,
UV Filter Variant 43,5.0,Strong,1.0,5.0,
UV Filter Variant 44,5.0,Strong,1.0,5.0,
UV Filter Variant 45,5.0,Strong,1.0,5.0,
UV Filter Variant 46,5.0,Strong,1.0,5.0,
UV Filter Variant 47,5.0,Strong,1.0,5.0,
UV Filter Variant 48,5.0,Strong,1.0,5.0,
UV Filter Variant 49,5.0,Strong,1.0,5.0,
UV Filter Variant 50,5.0,Strong,1.0,5.0,
UV Filter Variant 51,5.0,Strong,1.0,5.0,
UV Filter Variant 52,5.0,Strong,1.0,5.0,
UV Filter Variant 53,5.0,Strong,1.0,5.0,
UV Filter Variant 54,5.0,Strong,1.0,5.0,
UV Filter Variant 55,5.0,Strong,1.0,5.0,
UV Filter Variant 56,5.0,Strong,1.0,5.0,
UV Filter Variant 57,5.0,Strong,1.0,5.0,
UV Filter Variant 58,5.0,Strong,1.0,5.0,
UV Filter Variant 59,5.0,Strong,1.0,5.0,
UV Filter Variant 60,5.0,Strong,1.0,5.0,
UV Filter Variant 61,5.0,Strong,1.0,5.0,
UV Filter Variant 62,5.0,Strong,1.0,5.0,
UV Filter Variant 63,5.0,Strong,1.0,5.0,
UV Filter Variant 64,5.0,Strong,1.0,5.0,
UV Filter Variant 65,5.0,Strong,1.0,5.0,
UV Filter Variant 66,5.0,Strong,1.0,5.0,
UV Filter Variant 67,5.0,Strong,1.0,5.0,
UV Filter Variant 68,5.0,Strong,1.0,5.0,
UV Filter Variant 69,5.0,Strong,1.0,5.0,
UV Filter Variant 70,5.0,Strong,1.0,5.0,
UV Filter Variant 71,5.0,Strong,1.0,5.0,
UV Filter Variant 72,5.0,Strong,1.0,5.0,
UV Filter Variant 73,5.0,Strong,1.0,5.0,
UV Filter Variant 74,5.0,Strong,1.0,5.0,
UV Filter Variant 75,5.0,Strong,1.0,5.0,
UV Filter Variant 76,5.0,Strong,1.0,5.0,
UV Filter Variant 77,5.0,Strong,1.0,5.0,
UV Filter Variant 78,5.0,Strong,1.0,5.0,
UV Filter Variant 79,5.0,Strong,1.0,5.0,
UV Filter Variant 80,5.0,Strong,1.0,5.0,
UV Filter Variant 81,5.0,Strong,1.0,5.0,
UV Filter Variant 82,5.0,Strong,1.0,5.0,
UV Filter Variant 83,5.0,Strong,1.0,5.0,
UV Filter Variant 84,5.0,Strong,1.0,5.0,
Phenoxyethanol,0.0,Strong,1.0,0.0,Moderate
Parabens,0.0,Strong,1.0,0.0,
Methylparaben,0.0,Strong,1.0,0.0,Strong Clinical
Propylparaben,0.0,Strong,1.0,0.0,
Butylparaben,0.0,Strong,1.0,0.0,
Benzyl Alcohol,0.0,Strong,1.0,0.0,Moderate
Chlorphenesin,0.0,Strong,1.0,0.0,Moderate
Sodium Benzoate,0.0,Strong,1.0,0.0,Moderate
Potassium Sorbate,0.0,Strong,1.0,0.0,Moderate
Ethylhexylglycerin,0.0,Strong,1.0,0.0,Strong Clinical
Formaldehyde,0.0,Strong,1.0,0.0,Moderate
DMDM Hydantoin,0.0,Strong,1.0,0.0,
Imidazolidinyl Urea,0.0,Strong,1.0,0.0,
Diazolidinyl Urea,0.0,Strong,1.0,0.0,
Quaternium-15,0.0,Strong,1.0,0.0,
Methylisothiazolinone,0.0,Strong,1.0,0.0,
Methylchloroisothiazolinone,0.0,Strong,1.0,0.0,
Dehydroacetic Acid,0.0,Strong,1.0,0.0,Moderate
Caprylyl Glycol,0.0,Strong,1.0,0.0,Moderate
Acetyl Tetrapeptide-11,,Limited,,,Limited Human Data
Acetyl Tetrapeptide-2,,Limited,,,Limited Human Data
Acetyl Zingerone,,,,,
Acrylates Copolymer,,,,,
Adansonia Digitata Seed Oil,,,,,
Alpha Lipoic Acid,,,,,
Alpha-Arbutin,,,,,
Ammonium Acryloyldimethyltaurate/VP Copolymer,,,,,
Artemisia Princeps Leaf Extract,,,,,
Aspergillus Ferment,,,,,
Bacillus Ferment,,,,,
Beta-Cyclodextrin,,,,,
Hydroxyethyl Urea,,,,,
Tretinoin,,,,,
Kojic Dipalmitate,,,,,
Undecylenoyl Phenylalanine,,,,,
Nonapeptide-1,,Limited,,,Limited Human Data
Phloretin,,,,,
Palmitoyl Tripeptide-38,,Limited,,,Limited Human Data
Myristoyl Pentapeptide-17,,Limited,,,Limited Human Data
Saccharomyces Ferment,,,,,
Thermus Thermophillus Ferment,,,,,
Vitreoscilla Ferment,,,,,
Sodium Lauroyl Methyl Isethionate,,,,,
Caprylyl/Capryl Glucoside,,,,,
Potassium Cocoyl Glycinate,,,,,
Hydroxypropyl Methylcellulose,,,,,
Liposomes,,,,,
Niosomes,,,,,
